Local Authority Asset Number,Street Name,Ward Name,Postcode,Description,Switch Regime,Wattage,Lamp Type,Column Type,Column Height,Heritage Status,Install Date,Easting,Northing,Longitude,Latitude,Location,Spatial Accuracy,Organisation URI,Last Uploaded
243458,SPANIARDS ROAD,Hampstead Town,NW3 1EA,JUNCTION SPANIARD RD,35/18,99,Cosmopolis,Lighting Column,800,No,10/01/2000,526284,186424,-0.179537,51.562567,POINT (-0.179537 51.562567),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:12 PM
246256,GAISFORD STREET,Kentish Town South,NW5 2AD,TOP OF ST,35/18,86,Generic LED Lighting,Lighting Column,800,No,31/12/2021,529000,184877,-0.140943,51.548051,POINT (-0.140943 51.548051),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
958,OSSULSTON STREET,St Pancras and Somers Town,NW1 1JJ,BY WEIR'S PASSAGE,35/18,48,Generic LED Lighting,Lighting Column,800,No,01/11/2023,529945,182793,-0.128091,51.529106,POINT (-0.128091 51.529106),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
246795,BERKLEY ROAD,Primrose Hill,NW1 8YA,OPP N 8,35/18,38,Generic LED Lighting,Lighting Column,500,Yes,,527996,184110,-0.155694,51.541386,POINT (-0.155694 51.541386),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:13 PM
248356,YORK WAY,Camden Square,N7 9GY,OPPOSITE WAREHOUSE,35/18,110,Generic LED Lighting,Lighting Column,1000,No,31/12/2021,530055,184327,-0.12594,51.542866,POINT (-0.12594 51.542866),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:15 PM
242017,WEST END LANE,Fortune Green,NW6 1LP,O/S 367,35/18,102,Generic LED Lighting,Lighting Column,800,No,31/12/2021,525626,185321,-0.189419,51.552801,POINT (-0.189419 51.552801),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:12 PM
241087,BLACK PATH,West Hampstead,NW6 1PF,BEHIND 165 SUMATRA ROAD,35/18,21,Generic LED Lighting,Lighting Column,500,No,31/12/2021,525395,184853,-0.192915,51.548647,POINT (-0.192915 51.548647),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:12 PM
244680,HIGHGATE ROAD,Highgate,NW5 1LJ,BY THE LIGHTS,35/18,86,Generic LED Lighting,Lighting Column,800,No,31/12/2021,528575,185830,-0.146721,51.556712,POINT (-0.146721 51.556712),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
242510,MARESFIELD GARDENS,Belsize,NW3 5SU,O/S NO 10,35/18,42,Generic LED Lighting,Lighting Column,600,No,31/12/2021,526459,184753,-0.177614,51.547511,POINT (-0.177614 51.547511),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:12 PM
1363,ADMIRAL'S WALK,Hampstead Town,NW3 6RS,,35/18,39,Generic LED Lighting,Wall Light,,,31/10/2021,526250,186084,-0.180149,51.559519,POINT (-0.180149 51.559519),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:15 PM
