LSOA Code,Total_Decayed_Score,Z-Score_Decayed
E01000523,383.37439162151685,0.2157604635481047
E01000524,952.7088880195108,1.2069647796393463
E01000525,265.4711544526899,0.010492385990452024
E01000526,389.8733726051498,0.22707510905426553
E01000527,247.96476593804988,-0.019986019875808926
E01000528,213.9669706049212,-0.0791757610297099
E01000530,96.7914376840912,-0.28317691449262394
E01000531,399.72849480202433,0.24423275490033766
E01000532,141.81218355126535,-0.20479635280258549
E01000533,467.27666746339605,0.36183328799577785
E01000534,115.78508008183624,-0.25010921801182306
E01000535,214.20935157719126,-0.07875377875501467
E01000536,199.87106680752476,-0.1037165551877705
E01000538,87.73163352927087,-0.29894992146482346
E01000539,59.09620986668892,-0.34880383986784774
E01000540,69.4955130224035,-0.3306987817034469
E01000541,105.79523951412781,-0.2675014068751762
E01000543,231.94499758580614,-0.04787623842744529
E01000544,187.03160441446025,-0.12606990040189964
E01000545,471.86337889298494,0.369818695861342
E01000546,273.19505598522426,0.023939603021123364
E01000547,167.3572906974236,-0.1603226372303167
E01000548,648.4628962331991,0.6772762711790408
E01000549,134.4535569324323,-0.2176076307266135
E01000550,385.1830255085685,0.2189092727743443
E01000551,295.0041155968716,0.06190890604723838
E01000552,150.56272969263,-0.18956176020657858
E01000553,273.6849198293756,0.024792449914631143
E01000554,159.87936280620568,-0.17334161719392108
E01000555,117.22931854242502,-0.2475948167158232
E01000556,440.74523535221,0.31564239285931717
E01000557,175.4742312665138,-0.14619114409852854
E01000558,196.74356896010562,-0.10916149025589057
E01000559,201.00016617499378,-0.10175080715491491
E01000560,155.8346528565023,-0.18038340718705825
E01000561,215.08465136087767,-0.07722989265826004
E01000562,63.88967574077054,-0.34045847507178173
E01000563,73.83740267400054,-0.3231396055251491
E01000564,173.4210391998939,-0.14976572609043948
E01000565,118.24759587571165,-0.24582200847371372
E01000566,69.0547338717709,-0.3314661727526705
E01000567,64.78298023547234,-0.33890324299585084
E01000568,733.6321737075027,0.8255549297971342
E01000569,62.548141312889676,-0.34279406991719047
E01000570,98.51307731412956,-0.28017956119180654
E01000571,179.43248867202828,-0.1392998669154868
E01000572,53.44709633858854,-0.3586388766459955
E01000573,70.44733556713386,-0.32904167042623006
E01000574,69.03997834835083,-0.33149186193643276
E01000575,258.41871473391564,-0.0017858243278205486
E01000576,109.70650073842909,-0.2606919494623276
E01000577,205.78577700530172,-0.0934191178928993
E01000578,451.93913780744657,0.3351308385757323
E01000579,112.40538528077174,-0.2559932248567982
E01000580,362.2054272460385,0.17890555841077774
E01000581,111.47984859478444,-0.25760457277907495
E01000582,127.4603126567244,-0.2297827825107
E01000583,356.9513589085625,0.1697582904231658
E01000584,76.01575664129001,-0.3193471182123086
E01000585,82.01552019387812,-0.30890160407874206
E01000586,559.3950998534871,0.5222103393676806
E01000587,105.58929589702203,-0.2678599521652266
E01000589,537.6227211951823,0.4843048974276257
E01000590,85.1602417399718,-0.3034266827642707
E01000591,473.8215146661739,0.3732277860221475
E01000592,164.67252683300188,-0.16499677791024545
E01000593,104.4520032899067,-0.2698399645269636
E01000594,235.38587737646392,-0.041885709272389604
E01000595,190.03756088978938,-0.12083656735923466
E01000596,192.86758727057324,-0.11590952643508151
E01000599,205.8648695827912,-0.0932814186937917
E01000601,1064.6302951766647,1.4018185651363444
E01000602,168.4038977495313,-0.15850050729815202
E01000603,142.97757740046606,-0.20276741652596397
E01000604,114.93942293276123,-0.25158149664837104
E01000605,225.74186535085144,-0.058675814921530824
E01000606,98.86710839346178,-0.279563197461724
E01000607,101.39974762359057,-0.2751539038884591
E01000608,451.2475025743829,0.33392671018985237
E01000609,122.54941534426092,-0.23833259398847126
E01000610,134.956312969379,-0.21673233868491337
E01000611,86.72739215801668,-0.3006982932706462
E01000612,133.1991309958848,-0.21979157076606176
E01000613,122.00334012079205,-0.23928330419808844
E01000615,602.9299454381327,0.5980039670450399
E01000616,149.28568990453613,-0.19178507068185677
E01000617,272.73209000890165,0.023133584982803806
E01000618,127.74837166652128,-0.2292812753376654
E01000619,99.73245193651917,-0.27805664505675504
E01000620,162.71186620702397,-0.16841026380852642
E01000621,202.49248583997405,-0.09915269707678914
E01000622,143.5745312195783,-0.20172812731065257
E01000623,188.0946189483614,-0.12421920524687786
E01000624,95.61661154841696,-0.28522227226332725
E01000625,144.7128924021848,-0.19974625457220263
E01000626,216.7113485918813,-0.07439783289981303
E01000627,274.97401285065393,0.027036744919796227
E01000628,316.30135703459644,0.09898713996326862
E01000629,134.51808065212836,-0.21749529572872098
E01000630,605.3534147655142,0.6022231971679519
E01000631,334.4634030995177,0.13060703751469568
E01000632,270.6433124682486,0.019497049120760373
E01000633,488.47428125381566,0.39873807141015094
E01000634,222.78770638602256,-0.06381896913910184
E01000636,332.85096931259494,0.12779981023596795
E01000637,127.70047105289643,-0.22936466971350028
E01000638,272.4653278350337,0.02266915533769942
E01000639,117.87006734420852,-0.24647928097738425
