LSOA Code,Decayed Combined Score
E01000387,899.1403364404026
E01000388,513.8479246683451
E01000388,1268.6067445581516
E01000389,825.8436301589933
E01000389,2497.7243270158474
E01000390,609.017690378868
E01000390,1402.6751741384282
E01000391,542.6840601086996
E01000391,1438.1274963426315
E01000392,1551.772884978954
E01000392,6359.1180163192075
E01000393,799.650300678416
E01000393,2079.5955904744756
E01000394,515.5289021345277
E01000394,1858.6496657960888
E01000395,604.7404543196087
E01000395,1867.9653487609482
E01000396,667.9138834735121
E01000396,626.4736632878154
E01000398,499.8479402204483
E01000398,1252.79117625624
E01000399,816.5074659010287
E01000399,1249.2608861920446
E01000400,651.8127971557213
E01000400,1509.1799219714535
E01000401,1042.213659175723
E01000401,2528.042453329468
E01000402,914.1051822081138
E01000402,1850.1819024177676
E01000403,3270.559476753077
E01000403,13256.783812196407
E01000404,2024.3376028532348
E01000404,4801.571204283608
E01000405,1147.1703263349323
E01000405,2584.5625443600757
E01000406,1112.071168803163
E01000406,3099.5904242061124
E01000407,782.3176659328695
E01000407,1638.2610037757509
E01000408,1810.5913365394208
E01000408,3590.7175463743793
E01000409,376.62239492043017
E01000409,636.0553636402556
E01000410,631.8530200563122
E01000410,1613.9686715462883
E01000411,525.2805547875676
E01000411,852.2491790212516
E01000412,745.2429888125491
E01000412,1631.4104977124628
E01000413,659.0812979127451
E01000413,1895.5501778979988
E01000414,1360.7183862054655
E01000414,6426.901261728473
E01000415,369.4237352962041
E01000415,730.8982458298752
E01000416,1727.943361898476
E01000416,5665.84958775018
E01000417,1219.309562530112
E01000417,2560.8033449110903
E01000418,1129.3652597539717
E01000418,1957.3419571939078
E01000419,566.7354601427543
E01000419,847.1755508673768
E01000420,633.1901299099069
E01000420,959.9635244070977
E01000421,505.4402356607975
E01000421,590.9563391878011
E01000422,1565.3740985249178
E01000422,2615.54081525872
E01000423,496.13867020845635
E01000423,649.539653223781
E01000424,884.2496280303244
E01000424,1398.454568489885
E01000425,556.8007195956309
E01000425,728.566410897094
E01000426,636.9580552403881
E01000426,1159.687081928402
E01000427,952.3182310167169
E01000427,1746.8851354918734
E01000428,2094.0968628327287
E01000428,4203.937652955361
E01000429,1992.198754567082
E01000429,4233.65370344193
E01000430,1251.8740859122665
E01000430,2513.039149740824
E01000431,1508.2911533545653
E01000431,3479.6411240209763
E01000433,1969.9051340780811
E01000433,4588.174678350134
E01000434,976.6488838025576
E01000434,2599.809728382192
E01000435,928.9302263304793
E01000435,3736.2900330858834
E01000436,429.07823522678115
E01000436,692.3137891283229
E01000437,822.5300745996542
E01000437,1122.5293174114295
E01000438,946.8020533402963
E01000438,1470.046670605172
E01000439,1192.2619514306984
E01000439,3817.6747473360083
E01000440,422.15490091866326
E01000440,634.7113092362135
E01000441,1131.8905170381847
E01000441,3359.1624138707703
E01000442,721.0841786119673
E01000442,1091.7580279961937
E01000443,559.0292239722123
E01000443,957.3050108332736
E01000444,601.6331895392152
E01000444,974.5604273388683
E01000445,475.8121850716764
E01000445,1406.6136498545595
E01000446,646.115258923033
E01000446,975.6227590043253
E01000447,2301.5146248127035
E01000447,3753.622097871773
E01000448,384.7548936336541
E01000448,716.8835885709344
E01000449,687.6718204047953
E01000449,851.9576910537942
E01000450,752.1641490786519
E01000450,1801.455196048574
E01000451,551.6798698553006
E01000451,1167.720395009216
E01000452,548.661566932113
E01000452,754.740667216217
E01000453,640.3409408901811
E01000453,1168.5424114979917
E01000454,719.1613770019945
E01000454,1648.7024591897784
E01000455,626.204951840811
E01000455,1270.4019636059904
E01000456,389.8395423646549
E01000456,636.8860400492254
E01000457,1745.6623182564413
E01000457,6551.352261606857
E01000458,427.6155971446513
E01000458,692.8576796227592
E01000459,894.8568157928195
E01000459,2178.127756760646
E01000460,516.5264185552867
E01000460,842.4853749214899
E01000461,562.1672097192757
E01000461,1038.9050832373339
E01000462,1321.0021439786408
E01000462,3851.570312736395
E01000463,399.83485210047456
E01000463,786.985621567164
E01000464,1221.828658158999
